"","row","value","size","sizeclass","is_hacked","es"
"1",2,0.0224,"Large","S","FALSE",0
"2",2,0.1004,"Large","S","TRUE",0
"3",2,0.1182,"Small","S","FALSE",0
"4",2,0.4232,"Small","S","TRUE",0
"5",2,0.0248,"Large","M","FALSE",0
"6",2,0.0922,"Large","M","TRUE",0
"7",2,0.1158,"Small","M","FALSE",0
"8",2,0.4096,"Small","M","TRUE",0
"9",2,0.0258,"Large","L","FALSE",0
"10",2,0.0846,"Large","L","TRUE",0
"11",2,0.1172,"Small","L","FALSE",0
"12",2,0.395,"Small","L","TRUE",0
"13",3,0.034,"Large","S","FALSE",0.05
"14",3,0.127,"Large","S","TRUE",0.05
"15",3,0.1398,"Small","S","FALSE",0.05
"16",3,0.485,"Small","S","TRUE",0.05
"17",3,0.0442,"Large","M","FALSE",0.05
"18",3,0.1432,"Large","M","TRUE",0.05
"19",3,0.1448,"Small","M","FALSE",0.05
"20",3,0.4948,"Small","M","TRUE",0.05
"21",3,0.0488,"Large","L","FALSE",0.05
"22",3,0.1534,"Large","L","TRUE",0.05
"23",3,0.1634,"Small","L","FALSE",0.05
"24",3,0.5068,"Small","L","TRUE",0.05
"25",4,0.049,"Large","S","FALSE",0.1
"26",4,0.1858,"Large","S","TRUE",0.1
"27",4,0.1668,"Small","S","FALSE",0.1
"28",4,0.5766,"Small","S","TRUE",0.1
"29",4,0.0704,"Large","M","FALSE",0.1
"30",4,0.2224,"Large","M","TRUE",0.1
"31",4,0.1932,"Small","M","FALSE",0.1
"32",4,0.5932,"Small","M","TRUE",0.1
"33",4,0.0936,"Large","L","FALSE",0.1
"34",4,0.2546,"Large","L","TRUE",0.1
"35",4,0.224,"Small","L","FALSE",0.1
"36",4,0.6196,"Small","L","TRUE",0.1
"37",5,0.0732,"Large","S","FALSE",0.15
"38",5,0.2476,"Large","S","TRUE",0.15
"39",5,0.1876,"Small","S","FALSE",0.15
"40",5,0.651,"Small","S","TRUE",0.15
"41",5,0.1128,"Large","M","FALSE",0.15
"42",5,0.3212,"Large","M","TRUE",0.15
"43",5,0.2272,"Small","M","FALSE",0.15
"44",5,0.6714,"Small","M","TRUE",0.15
"45",5,0.1832,"Large","L","FALSE",0.15
"46",5,0.4104,"Large","L","TRUE",0.15
"47",5,0.297,"Small","L","FALSE",0.15
"48",5,0.7326,"Small","L","TRUE",0.15
"49",6,0.0968,"Large","S","FALSE",0.2
"50",6,0.304,"Large","S","TRUE",0.2
"51",6,0.2054,"Small","S","FALSE",0.2
"52",6,0.6902,"Small","S","TRUE",0.2
"53",6,0.1616,"Large","M","FALSE",0.2
"54",6,0.3992,"Large","M","TRUE",0.2
"55",6,0.2706,"Small","M","FALSE",0.2
"56",6,0.7492,"Small","M","TRUE",0.2
"57",6,0.2926,"Large","L","FALSE",0.2
"58",6,0.5662,"Large","L","TRUE",0.2
"59",6,0.3734,"Small","L","FALSE",0.2
"60",6,0.8226,"Small","L","TRUE",0.2
"61",7,0.1398,"Large","S","FALSE",0.25
"62",7,0.3826,"Large","S","TRUE",0.25
"63",7,0.2464,"Small","S","FALSE",0.25
"64",7,0.7868,"Small","S","TRUE",0.25
"65",7,0.2414,"Large","M","FALSE",0.25
"66",7,0.5334,"Large","M","TRUE",0.25
"67",7,0.3216,"Small","M","FALSE",0.25
"68",7,0.8314,"Small","M","TRUE",0.25
"69",7,0.4152,"Large","L","FALSE",0.25
"70",7,0.705,"Large","L","TRUE",0.25
"71",7,0.4658,"Small","L","FALSE",0.25
"72",7,0.8936,"Small","L","TRUE",0.25
"73",8,0.1746,"Large","S","FALSE",0.3
"74",8,0.4764,"Large","S","TRUE",0.3
"75",8,0.27,"Small","S","FALSE",0.3
"76",8,0.8328,"Small","S","TRUE",0.3
"77",8,0.3166,"Large","M","FALSE",0.3
"78",8,0.6376,"Large","M","TRUE",0.3
"79",8,0.3778,"Small","M","FALSE",0.3
"80",8,0.8926,"Small","M","TRUE",0.3
"81",8,0.553,"Large","L","FALSE",0.3
"82",8,0.835,"Large","L","TRUE",0.3
"83",8,0.5618,"Small","L","FALSE",0.3
"84",8,0.945,"Small","L","TRUE",0.3
"85",9,0.2246,"Large","S","FALSE",0.35
"86",9,0.5594,"Large","S","TRUE",0.35
"87",9,0.3106,"Small","S","FALSE",0.35
"88",9,0.8742,"Small","S","TRUE",0.35
"89",9,0.405,"Large","M","FALSE",0.35
"90",9,0.728,"Large","M","TRUE",0.35
"91",9,0.4436,"Small","M","FALSE",0.35
"92",9,0.9316,"Small","M","TRUE",0.35
"93",9,0.6944,"Large","L","FALSE",0.35
"94",9,0.9166,"Large","L","TRUE",0.35
"95",9,0.6428,"Small","L","FALSE",0.35
"96",9,0.9734,"Small","L","TRUE",0.35
"97",10,0.2708,"Large","S","FALSE",0.4
"98",10,0.649,"Large","S","TRUE",0.4
"99",10,0.3466,"Small","S","FALSE",0.4
"100",10,0.9188,"Small","S","TRUE",0.4
