"","row","value","size","sizeclass","is_hacked","es"
"1",2,0.0238,"Large","S","FALSE",0
"2",2,0.0891,"Large","S","TRUE",0
"3",2,0.1153,"Small","S","FALSE",0
"4",2,0.3835,"Small","S","TRUE",0
"5",2,0.0269,"Large","M","FALSE",0
"6",2,0.089,"Large","M","TRUE",0
"7",2,0.12,"Small","M","FALSE",0
"8",2,0.3866,"Small","M","TRUE",0
"9",2,0.0284,"Large","L","FALSE",0
"10",2,0.0868,"Large","L","TRUE",0
"11",2,0.1188,"Small","L","FALSE",0
"12",2,0.3851,"Small","L","TRUE",0
"13",3,0.0346,"Large","S","FALSE",0.05
"14",3,0.1302,"Large","S","TRUE",0.05
"15",3,0.14,"Small","S","FALSE",0.05
"16",3,0.4647,"Small","S","TRUE",0.05
"17",3,0.0438,"Large","M","FALSE",0.05
"18",3,0.1413,"Large","M","TRUE",0.05
"19",3,0.1473,"Small","M","FALSE",0.05
"20",3,0.4742,"Small","M","TRUE",0.05
"21",3,0.0539,"Large","L","FALSE",0.05
"22",3,0.1563,"Large","L","TRUE",0.05
"23",3,0.1648,"Small","L","FALSE",0.05
"24",3,0.495,"Small","L","TRUE",0.05
"25",4,0.0498,"Large","S","FALSE",0.1
"26",4,0.1824,"Large","S","TRUE",0.1
"27",4,0.1608,"Small","S","FALSE",0.1
"28",4,0.5438,"Small","S","TRUE",0.1
"29",4,0.0711,"Large","M","FALSE",0.1
"30",4,0.2101,"Large","M","TRUE",0.1
"31",4,0.1862,"Small","M","FALSE",0.1
"32",4,0.5717,"Small","M","TRUE",0.1
"33",4,0.1036,"Large","L","FALSE",0.1
"34",4,0.2679,"Large","L","TRUE",0.1
"35",4,0.2279,"Small","L","FALSE",0.1
"36",4,0.6117,"Small","L","TRUE",0.1
"37",5,0.0761,"Large","S","FALSE",0.15
"38",5,0.2418,"Large","S","TRUE",0.15
"39",5,0.1806,"Small","S","FALSE",0.15
"40",5,0.6154,"Small","S","TRUE",0.15
"41",5,0.1081,"Large","M","FALSE",0.15
"42",5,0.2939,"Large","M","TRUE",0.15
"43",5,0.2378,"Small","M","FALSE",0.15
"44",5,0.6695,"Small","M","TRUE",0.15
"45",5,0.1845,"Large","L","FALSE",0.15
"46",5,0.4113,"Large","L","TRUE",0.15
"47",5,0.2914,"Small","L","FALSE",0.15
"48",5,0.7386,"Small","L","TRUE",0.15
"49",6,0.1001,"Large","S","FALSE",0.2
"50",6,0.3143,"Large","S","TRUE",0.2
"51",6,0.2086,"Small","S","FALSE",0.2
"52",6,0.7007,"Small","S","TRUE",0.2
"53",6,0.1656,"Large","M","FALSE",0.2
"54",6,0.4156,"Large","M","TRUE",0.2
"55",6,0.2753,"Small","M","FALSE",0.2
"56",6,0.7579,"Small","M","TRUE",0.2
"57",6,0.2829,"Large","L","FALSE",0.2
"58",6,0.5582,"Large","L","TRUE",0.2
"59",6,0.368,"Small","L","FALSE",0.2
"60",6,0.8332,"Small","L","TRUE",0.2
"61",7,0.1342,"Large","S","FALSE",0.25
"62",7,0.3942,"Large","S","TRUE",0.25
"63",7,0.2422,"Small","S","FALSE",0.25
"64",7,0.7649,"Small","S","TRUE",0.25
"65",7,0.2314,"Large","M","FALSE",0.25
"66",7,0.5173,"Large","M","TRUE",0.25
"67",7,0.3243,"Small","M","FALSE",0.25
"68",7,0.8289,"Small","M","TRUE",0.25
"69",7,0.4278,"Large","L","FALSE",0.25
"70",7,0.7111,"Large","L","TRUE",0.25
"71",7,0.4576,"Small","L","FALSE",0.25
"72",7,0.908,"Small","L","TRUE",0.25
"73",8,0.1828,"Large","S","FALSE",0.3
"74",8,0.4772,"Large","S","TRUE",0.3
"75",8,0.2703,"Small","S","FALSE",0.3
"76",8,0.8326,"Small","S","TRUE",0.3
"77",8,0.3209,"Large","M","FALSE",0.3
"78",8,0.6413,"Large","M","TRUE",0.3
"79",8,0.3785,"Small","M","FALSE",0.3
"80",8,0.8907,"Small","M","TRUE",0.3
"81",8,0.5606,"Large","L","FALSE",0.3
"82",8,0.8237,"Large","L","TRUE",0.3
