"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";0,0238;0,0891;0,1153;0,3835;0,0269;0,089;0,12;0,3866;0,0284;0,0868;0,1188;0,3851
"2";0,0346;0,1302;0,14;0,4647;0,0438;0,1413;0,1473;0,4742;0,0539;0,1563;0,1648;0,495
"3";0,0498;0,1824;0,1608;0,5438;0,0711;0,2101;0,1862;0,5717;0,1036;0,2679;0,2279;0,6117
"4";0,0761;0,2418;0,1806;0,6154;0,1081;0,2939;0,2378;0,6695;0,1845;0,4113;0,2914;0,7386
"5";0,1001;0,3143;0,2086;0,7007;0,1656;0,4156;0,2753;0,7579;0,2829;0,5582;0,368;0,8332
"6";0,1342;0,3942;0,2422;0,7649;0,2314;0,5173;0,3243;0,8289;0,4278;0,7111;0,4576;0,908
"7";0,1828;0,4772;0,2703;0,8326;0,3209;0,6413;0,3785;0,8907;0,5606;0,8237;0,5501;0,96
"8";0,2218;0,5563;0,3082;0,884;0,4175;0,7401;0,4469;0,9403;0,6967;0,9075;0,647;0,9802
"9";0,2795;0,6398;0,3512;0,9276;0,5133;0,8279;0,5019;0,9664;0,8067;0,9614;0,74;0,9954
"10";0,3496;0,7214;0,3835;0,9536;0,6042;0,8847;0,5695;0,9832;0,8904;0,9852;0,8119;0,9973
"11";0,4226;0,807;0,4297;0,9766;0,7015;0,932;0,6422;0,9923;0,9392;0,9955;0,8728;0,9995
"12";0,4791;0,8472;0,4582;0,9849;0,774;0,961;0,699;0,9977;0,9718;0,9982;0,917;0,9997
"13";0,5439;0,8909;0,5055;0,9934;0,847;0,9822;0,7515;0,9986;0,989;0,9997;0,9529;1
"14";0,6138;0,9199;0,5445;0,9964;0,8956;0,9907;0,8079;0,9998;0,9957;0,9999;0,9751;1
"15";0,6741;0,9511;0,5871;0,9982;0,9326;0,9961;0,8494;1;0,9987;1;0,9862;1
"16";0,7444;0,9749;0,6295;0,9991;0,9598;0,9984;0,8861;1;0,9995;1;0,9943;1
"17";0,7959;0,9852;0,6657;0,9997;0,9799;0,9994;0,9222;1;1;1;0,9981;1
"18";0,8305;0,989;0,7116;1;0,9868;0,9998;0,9438;1;0,9999;1;0,9981;1
"19";0,8756;0,9963;0,7452;1;0,995;1;0,9611;1;1;1;0,9997;1
"20";0,9052;0,9975;0,7816;1;0,9966;1;0,9744;1;1;1;0,9998;1
"21";0,9357;0,9987;0,8194;1;0,9989;1;0,9849;1;1;1;1;1
