mean_slope,min_slope,max_slope,var_slope,mean_se,min_se,max_se,var_se,mean_tstat,min_tstat,max_tstat,var_tstat,mean_pval,min_pval,max_pval,var_pval,mean_sig,min_sig,max_sig,var_sig,mean_df,min_df,max_df,var_df,simulation_parameters_save_rejected,researcher_parameters_research_strategy_between_replications_selection_policies_0_2,researcher_parameters_hacking_strategies_0_0_0_target,journal_parameters_max_pubs,experiment_parameters_data_strategy_measurements_sigma_0_3,experiment_parameters_data_strategy_measurements_sigma_1_2,researcher_parameters_research_strategy_between_stashed_selection_policies_0_0,researcher_parameters_research_strategy_between_replications_selection_policies_0_0,researcher_parameters_research_strategy_between_replications_selection_policies_1_1,simulation_parameters_save_all_pubs,experiment_parameters_n_conditions,researcher_parameters_hacking_strategies_0_0_0_n_attempts,researcher_parameters_hacking_strategies_0_1_0_stopping_condition_0,simulation_parameters_progress,researcher_parameters_hacking_strategies_0_1_1_0_1,researcher_parameters_research_strategy_initial_selection_policies_0_0,simulation_parameters_n_sims,simulation_parameters_update_config,researcher_parameters_research_strategy_initial_selection_policies_1_0,researcher_parameters_research_strategy_between_stashed_selection_policies_1_0,experiment_parameters_n_dep_vars,journal_parameters_review_strategy_side,researcher_parameters_research_strategy_will_not_start_hacking_decision_policies_1,journal_parameters_meta_analysis_metrics_0_estimator,researcher_parameters_research_strategy_between_stashed_selection_policies_0_1,researcher_parameters_hacking_strategies_0_1_1_0_2,researcher_parameters_research_strategy_will_not_start_hacking_decision_policies_0,researcher_parameters_hacking_strategies_0_0_1_0_0,journal_parameters_review_strategy_pub_bias_rate,journal_parameters_meta_analysis_metrics_0_name,researcher_parameters_hacking_strategies_0_0_2_0,experiment_parameters_data_strategy_measurements_sigma_1_1,experiment_parameters_data_strategy_measurements_means_0,experiment_parameters_data_strategy_measurements_means_1,experiment_parameters_data_strategy_measurements_sigma_0_0,researcher_parameters_research_strategy_initial_selection_policies_1_1,experiment_parameters_data_strategy_measurements_means_3,researcher_parameters_research_strategy_initial_selection_policies_0_2,experiment_parameters_n_reps,researcher_parameters_hacking_strategies_0_1_0_min_observations,researcher_parameters_hacking_strategies_0_0_0_name,experiment_parameters_n_obs,simulation_parameters_log_level,experiment_parameters_data_strategy_measurements_means_2,experiment_parameters_data_strategy_measurements_sigma_0_1,journal_parameters_review_strategy_name,researcher_parameters_hacking_strategies_0_1_0_num,researcher_parameters_hacking_strategies_0_0_0_ratio,researcher_parameters_research_strategy_name,experiment_parameters_data_strategy_measurements_sigma_2_1,simulation_parameters_output_path,experiment_parameters_data_strategy_measurements_sigma_2_0,researcher_parameters_hacking_strategies_0_1_2_0,experiment_parameters_data_strategy_measurements_sigma_2_2,researcher_parameters_hacking_strategies_0_1_1_0_0,researcher_parameters_hacking_strategies_0_0_2_1,experiment_parameters_data_strategy_measurements_sigma_3_3,researcher_parameters_hacking_strategies_0_1_0_multipliers_0,researcher_parameters_research_strategy_between_replications_selection_policies_2_0,researcher_parameters_hacking_strategies_0_1_0_multipliers_1,researcher_parameters_hacking_strategies_0_1_0_multipliers_3,experiment_parameters_data_strategy_measurements_sigma_0_2,researcher_parameters_probability_of_being_a_hacker,researcher_parameters_hacking_strategies_0_1_0_order,experiment_parameters_data_strategy_measurements_sigma_3_0,journal_parameters_meta_analysis_metrics_1_name,experiment_parameters_data_strategy_measurements_sigma_1_3,researcher_parameters_hacking_strategies_0_0_1_0_2,researcher_parameters_hacking_strategies_0_0_0_stopping_condition_0,simulation_parameters_save_meta,experiment_parameters_effect_strategy_name,simulation_parameters_master_seed,researcher_parameters_hacking_strategies_0_1_0_multipliers_4,experiment_parameters_data_strategy_measurements_sigma_3_2,researcher_parameters_research_strategy_between_stashed_selection_policies_1_1,researcher_parameters_research_strategy_between_replications_selection_policies_2_1,experiment_parameters_data_strategy_measurements_dist,experiment_parameters_test_strategy_alpha,researcher_parameters_research_strategy_initial_selection_policies_0_1,researcher_parameters_research_strategy_between_replications_selection_policies_1_0,researcher_parameters_hacking_strategies_0_1_0_target,researcher_parameters_hacking_strategies_0_1_0_multipliers_2,simulation_parameters_output_prefix,journal_parameters_meta_analysis_metrics_1_alpha,experiment_parameters_test_strategy_alternative,experiment_parameters_data_strategy_measurements_sigma_2_3,researcher_parameters_research_strategy_initial_selection_policies_1_2,journal_parameters_review_strategy_alpha,simulation_parameters_save_overall_summaries,experiment_parameters_data_strategy_measurements_sigma_1_0,experiment_parameters_test_strategy_var_equal,researcher_parameters_hacking_strategies_0_0_1_0_1,experiment_parameters_data_strategy_name,researcher_parameters_hacking_strategies_0_1_0_n_attempts,experiment_parameters_data_strategy_measurements_sigma_3_1,simulation_parameters_save_pubs_per_sim_summaries,experiment_parameters_test_strategy_name,researcher_parameters_hacking_strategies_0_1_0_name,researcher_parameters_research_strategy_stashing_policy_0,researcher_parameters_hacking_strategies_0_1_2_1,researcher_parameters_research_strategy_between_replications_selection_policies_0_1
-0.031715,-1.448935,1.211662,0.123851,0.318276,0.1314,0.66001,0.006825,-0.10328699999999999,-4.261901,4.219697,1.30474,0.47130500000000003,0.00031800000000000003,0.9998030000000001,0.08871799999999999,0.129,0.0,1.0,0.112472,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.25,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.30000000000000004,effect > 0,1,1,OptionalStopping,25,off,0.30000000000000004,0.5,SignificantSelection,25,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628087060761148,2,0.5,max(pvalue),,mvnorm_distribution,0.05,sig,,Both,3,00089213-6c70-408e-8341-2bf77d02538c,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
-0.308663,-1.797205,1.3334840000000001,0.182626,0.42058199999999996,0.186356,0.85101,0.008214,-0.7636350000000001,-4.0025949999999995,2.6150849999999997,1.107157,0.414814,0.000599,0.998827,0.09055,0.195,0.0,1.0,0.157132,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.25,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.6000000000000001,effect > 0,1,1,OptionalStopping,100,off,0.6000000000000001,0.5,SignificantSelection,100,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628088845460925,2,0.5,max(pvalue),,mvnorm_distribution,0.05,sig,,Both,3,0039db6d-4a29-476e-a914-18f3fa512e3d,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
-0.060515,-0.9831280000000001,0.87365,0.054809000000000004,0.201792,0.067517,0.480386,0.004086,-0.276487,-7.470853999999999,4.4020470000000005,1.4464110000000001,0.45575699999999997,0.0,0.9997729999999999,0.08799900000000001,0.148,0.0,1.0,0.126222,22.0,22.0,22.0,0.0,False,first,Both,24,0.0,0.0,effect > 0,effect > 0,min(pvalue),True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.75,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.4,effect > 0,5,1,OptionalStopping,20,off,0.4,0.5,SignificantSelection,20,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,effect < 0,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628087886293317,2,0.5,max(pvalue),max(pvalue),mvnorm_distribution,0.005,sig,effect > 0,Both,3,0045e4bb-18da-4ff6-9ff3-7d24aaf3016e,0.1,TwoSided,0.5,effect > 0,0.005,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,sig
-0.04275,-1.381298,1.368318,0.108422,0.285693,0.099264,0.61493,0.006625,-0.135846,-4.42318,4.28627,1.40896,0.482009,0.000215,0.9988969999999999,0.088234,0.144,0.0,1.0,0.12338699999999998,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.75,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.30000000000000004,effect > 0,1,1,OptionalStopping,25,off,0.30000000000000004,0.5,SignificantSelection,25,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628085656864096,2,0.5,max(pvalue),,mvnorm_distribution,0.05,sig,,Both,3,00874d3f-50f7-4fd3-9b9a-7c8e596ce592,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
-0.102042,-1.534749,1.479708,0.105446,0.28174299999999997,0.09237999999999999,0.637124,0.006225,-0.33672399999999997,-4.295979,4.635244,1.360642,0.47006400000000004,0.000128,0.997775,0.091197,0.147,0.0,1.0,0.12551700000000002,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.75,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.5,effect > 0,1,1,OptionalStopping,25,off,0.5,0.5,SignificantSelection,25,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628085507500572,2,0.5,max(pvalue),,mvnorm_distribution,0.05,sig,,Both,3,01bbe1b5-d381-42fb-974c-5325d16c5f4f,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
0.002618,-1.159266,1.084343,0.112028,0.307218,0.135685,0.6700149999999999,0.005263,0.011047,-3.5023800000000005,4.682674,1.264424,0.481257,0.00011399999999999999,0.9988549999999999,0.08816,0.124,0.0,1.0,0.108733,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.5,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.4,effect > 0,1,1,OptionalStopping,50,off,0.4,0.5,SignificantSelection,50,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628086115849548,2,0.5,max(pvalue),,mvnorm_distribution,0.0005,sig,,Both,3,01cee7b5-932a-4627-9b83-684cb06d44a3,0.1,TwoSided,0.5,effect > 0,0.0005,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
-0.5296529999999999,-2.107248,0.9052040000000001,0.220681,0.44281899999999996,0.187532,0.810485,0.009531,-1.244425,-5.155787,2.058656,1.225423,0.31482899999999997,3.6e-05,0.996667,0.083958,0.325,0.0,1.0,0.21959499999999998,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.95,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,1.0,effect > 0,1,1,OptionalStopping,50,off,1.0,0.5,SignificantSelection,50,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628084832686280,2,0.5,max(pvalue),,mvnorm_distribution,0.05,sig,,Both,3,01f5f200-f547-4a72-afc3-c26971708ed1,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
-0.214459,-2.378857,0.761655,0.131205,0.262112,0.073683,0.7002149999999999,0.007653,-0.755138,-12.648375999999999,3.857269,1.880775,0.399875,0.0,0.993295,0.091502,0.216,0.0,1.0,0.16951300000000002,22.0,22.0,22.0,0.0,False,first,Both,24,0.0,0.0,effect > 0,effect > 0,min(pvalue),True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.99,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.5,effect > 0,5,1,OptionalStopping,10,off,0.5,0.5,SignificantSelection,10,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,effect < 0,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628088077934996,2,0.5,max(pvalue),max(pvalue),mvnorm_distribution,0.05,sig,effect > 0,Both,3,02365eb0-5f98-4564-9e57-8671f30961cd,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,sig
-0.724403,-6.11179,1.384701,0.8367040000000001,0.44871300000000003,0.12031900000000001,1.895839,0.039297000000000006,-1.498879,-14.549767999999998,3.837735,3.024364,0.299444,0.0,0.998558,0.09291,0.394,0.0,1.0,0.23900300000000002,22.0,22.0,22.0,0.0,False,first,Both,24,0.0,0.0,effect > 0,effect > 0,min(pvalue),True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.75,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.30000000000000004,effect > 0,5,1,OptionalStopping,5,off,0.30000000000000004,0.5,SignificantSelection,5,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,effect < 0,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628086301438392,2,0.5,max(pvalue),max(pvalue),mvnorm_distribution,0.05,sig,effect > 0,Both,3,026e790c-f08e-438b-88ec-ebefceda39a3,0.1,TwoSided,0.5,effect > 0,0.05,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,sig
-0.282047,-1.452767,1.077545,0.13466,0.34974,0.16839,0.626406,0.005304,-0.853042,-4.90891,3.200345,1.209078,0.405034,6.6e-05,0.9997950000000001,0.090071,0.216,0.0,1.0,0.16951300000000002,22.0,22.0,22.0,0.0,False,,Both,24,0.0,0.0,effect > 0,,,True,2,1,sig,False,effect > 0,id == 2,1000,True,id == 3,effect < 0,2,0,sig,DL,min(pvalue),min(pvalue),effect > 0,sig,0.5,RandomEffectEstimator,effect > 0,1.0,0.0,0.0,1.0,sig,0.1,effect > 0,1,1,OptionalStopping,50,off,0.1,0.5,SignificantSelection,50,0.3,DefaultResearchStrategy,0.0,/scratch/bakker-et-al-2012-extended-agg-qrp/outputs/,0.0,effect > 0,1.0,sig,sig,1.0,4,,3.5,2.5,0.0,1,random,0.0,EggersTestEstimator,0.0,min(pvalue),sig,True,StandardizedMeanDifference,1628088147367712,2,0.5,max(pvalue),,mvnorm_distribution,0.005,sig,,Both,3,0276382d-7bd5-4866-aca2-40d4ed1ee848,0.1,TwoSided,0.5,effect > 0,0.005,True,0.5,True,effect > 0,LinearModel,1,0.0,False,TTest,OutliersRemoval,all,sig,
