mean_simid,min_simid,max_simid,var_simid,mean_exprid,min_exprid,max_exprid,var_exprid,mean_repid,min_repid,max_repid,var_repid,mean_pubid,min_pubid,max_pubid,var_pubid,mean_gid,min_gid,max_gid,var_gid,mean_tnobs,min_tnobs,max_tnobs,var_tnobs,mean_nobs,min_nobs,max_nobs,var_nobs,mean_mean,min_mean,max_mean,var_mean,mean_var,min_var,max_var,var_var,mean_stddev,min_stddev,max_stddev,var_stddev,mean_sei,min_sei,max_sei,var_sei,mean_pvalue,min_pvalue,max_pvalue,var_pvalue,mean_effect,min_effect,max_effect,var_effect,mean_var_effect,min_var_effect,max_var_effect,var_var_effect,mean_se_effect,min_se_effect,max_se_effect,var_se_effect,mean_sig,min_sig,max_sig,var_sig,mean_side,min_side,max_side,var_side,mean_is_hacked,min_is_hacked,max_is_hacked,var_is_hacked,mean_is_candidate,min_is_candidate,max_is_candidate,var_is_candidate,simulation_parameters_save_meta,experiment_parameters_data_strategy_measurements_means_1,researcher_parameters_research_strategy_between_replications_selection_policies_1_0,experiment_parameters_data_strategy_measurements_sigma_3_1,journal_parameters_review_strategy_name,simulation_parameters_progress,experiment_parameters_data_strategy_measurements_sigma_1_0,journal_parameters_review_strategy_alpha,researcher_parameters_research_strategy_between_stashed_selection_policies_0_1,journal_parameters_meta_analysis_metrics_1_name,researcher_parameters_probability_of_being_a_hacker,researcher_parameters_research_strategy_stashing_policy_0,researcher_parameters_research_strategy_will_not_start_hacking_decision_policies_1,simulation_parameters_update_config,simulation_parameters_save_overall_summaries,experiment_parameters_n_obs,experiment_parameters_n_reps,experiment_parameters_n_conditions,simulation_parameters_master_seed,experiment_parameters_data_strategy_measurements_sigma_1_3,researcher_parameters_research_strategy_initial_selection_policies_0_0,experiment_parameters_data_strategy_measurements_means_0,journal_parameters_meta_analysis_metrics_0_name,journal_parameters_review_strategy_side,experiment_parameters_data_strategy_measurements_sigma_0_0,journal_parameters_meta_analysis_metrics_1_alpha,experiment_parameters_data_strategy_measurements_sigma_0_3,experiment_parameters_test_strategy_name,journal_parameters_meta_analysis_metrics_0_estimator,researcher_parameters_research_strategy_name,simulation_parameters_log_level,researcher_parameters_research_strategy_between_stashed_selection_policies_1_1,experiment_parameters_data_strategy_measurements_sigma_3_3,experiment_parameters_data_strategy_measurements_sigma_0_2,researcher_parameters_research_strategy_between_replications_selection_policies_0_0,experiment_parameters_data_strategy_measurements_sigma_1_1,experiment_parameters_test_strategy_var_equal,journal_parameters_review_strategy_pub_bias_rate,journal_parameters_max_pubs,researcher_parameters_research_strategy_between_replications_selection_policies_2_0,experiment_parameters_test_strategy_alternative,researcher_parameters_research_strategy_will_not_start_hacking_decision_policies_0,experiment_parameters_data_strategy_measurements_means_2,simulation_parameters_save_rejected,researcher_parameters_research_strategy_between_replications_selection_policies_0_2,researcher_parameters_research_strategy_between_replications_selection_policies_2_1,experiment_parameters_effect_strategy_name,researcher_parameters_research_strategy_between_replications_selection_policies_1_1,experiment_parameters_data_strategy_measurements_dist,experiment_parameters_data_strategy_measurements_sigma_2_1,experiment_parameters_data_strategy_measurements_sigma_1_2,simulation_parameters_n_sims,experiment_parameters_data_strategy_measurements_sigma_0_1,researcher_parameters_research_strategy_between_stashed_selection_policies_1_0,experiment_parameters_data_strategy_measurements_sigma_3_2,simulation_parameters_output_path,experiment_parameters_data_strategy_measurements_sigma_2_3,researcher_parameters_research_strategy_between_replications_selection_policies_0_1,simulation_parameters_save_pubs_per_sim_summaries,simulation_parameters_output_prefix,experiment_parameters_data_strategy_name,experiment_parameters_n_dep_vars,experiment_parameters_data_strategy_measurements_means_3,experiment_parameters_data_strategy_measurements_sigma_3_0,experiment_parameters_test_strategy_alpha,simulation_parameters_save_all_pubs,researcher_parameters_research_strategy_between_stashed_selection_policies_0_0,experiment_parameters_data_strategy_measurements_sigma_2_0,experiment_parameters_data_strategy_measurements_sigma_2_2
499.493286,0.0,999.0,83336.835938,67.66553499999999,0.0,211.0,1761.733765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.37856799999999996,-0.288164,0.922889,0.024184,0.97777,0.404597,1.917766,0.039626999999999996,0.9837,0.63608,1.3848340000000001,0.010105,0.13911600000000002,0.089955,0.195845,0.000202,0.137826,0.0,0.9999379999999999,0.055892,0.46878500000000006,-0.613618,1.265794,0.06042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49895900000000004,0.0,1.0,0.25001,0.924335,-1.0,1.0,0.14561400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,0.0,SignificantSelection,False,0.5,0.005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,50,1,2,1628092237059888,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,,1.0,True,0.9,24,,TwoSided,effect > 0,0.30000000000000004,False,,,StandardizedMeanDifference,,mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,,False,0004e0d1-f556-45c4-98f4-13681d38ff07,LinearModel,2,0.30000000000000004,0.0,0.005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,15.611741,0.0,42.0,89.742828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,-0.000771,-0.40780900000000003,0.412512,0.010145,0.999396,0.519517,1.6477419999999998,0.020366,0.9971540000000001,0.720775,1.283644,0.005083,0.099715,0.072078,0.128364,5.1e-05,0.49751599999999996,1.3000000000000001e-05,0.999973,0.083341,-0.000303,-0.617091,0.633498,0.020572999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005875,0.0,1.0,0.005841,-0.001,-1.0,1.0,1.000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,0.0,SignificantSelection,False,0.5,0.005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,100,1,2,1628092454835459,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,,1.0,True,0.25,24,,TwoSided,effect > 0,0.0,False,,,StandardizedMeanDifference,,mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,,False,003e16fe-deae-45d4-8c18-dee22eafe9e6,LinearModel,2,0.0,0.0,0.005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,21.657719,0.0,64.0,174.773788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.46457600000000004,-0.113979,0.9581350000000001,0.01598,0.9883209999999999,0.365923,2.2722130000000003,0.039661,0.9891120000000001,0.604916,1.5073860000000001,0.00998,0.139881,0.085548,0.213177,0.0002,0.038711,0.0,0.999966,0.011547,0.5334939999999999,-0.41811400000000004,1.228803,0.025013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076280000000001,0.0,1.0,0.083846,0.9914729999999999,-1.0,1.0,0.016929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,0.0,SignificantSelection,False,0.5,0.05,min(pvalue),EggersTestEstimator,0,all,sig,True,True,50,1,2,1628091202905327,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,,1.0,True,0.9,24,,TwoSided,effect > 0,0.4,False,,,StandardizedMeanDifference,,mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,,False,00870a3d-d915-4f41-bf26-945e207a9ea8,LinearModel,2,0.4,0.0,0.05,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,173.760132,0.0,625.0,11753.749023,1.9983830000000002,0.0,4.0,1.983875,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.555348,-0.29840700000000003,1.3843889999999999,0.046856,0.8951120000000001,0.106179,2.64673,0.093537,0.932514,0.325851,1.626878,0.025528,0.208517,0.072863,0.363781,0.001276,0.054607,0.0,0.9822209999999999,0.009038,0.8856200000000001,-0.077189,2.226285,0.12863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32104099999999997,0.0,1.0,0.21798299999999998,0.999726,-1.0,1.0,0.000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,effect > 0,0.0,SignificantSelection,False,0.5,0.0005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,20,5,2,1628091868800613,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,effect > 0,1.0,True,0.95,24,effect < 0,TwoSided,effect > 0,0.30000000000000004,False,first,max(pvalue),StandardizedMeanDifference,min(pvalue),mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,sig,False,00c9cc89-8e90-40b4-ae45-1bac5621c008,LinearModel,2,0.30000000000000004,0.0,0.0005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,11.499989999999999,0.0,23.0,47.918715999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.299227,-0.28809,0.871936,0.019768,1.002428,0.42419700000000005,1.943848,0.041285,0.996077,0.651304,1.39422,0.010254000000000001,0.14086700000000002,0.09210800000000001,0.19717200000000001,0.000205,0.25014000000000003,0.0,0.999785,0.074535,0.301246,-0.5111020000000001,1.245701,0.04115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316292,0.0,1.0,0.21625999999999998,0.8648319999999999,-1.0,1.0,0.25207199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,0.0,SignificantSelection,False,0.5,0.05,min(pvalue),EggersTestEstimator,0,all,sig,True,True,50,1,2,1628091471476504,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,,1.0,True,0,24,,TwoSided,effect > 0,0.30000000000000004,False,,,StandardizedMeanDifference,,mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,,False,00e7785c-0b7c-4070-acbb-6f0e50147faf,LinearModel,2,0.30000000000000004,0.0,0.05,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,105.749924,0.0,337.0,4238.637695,1.994591,0.0,4.0,2.042646,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.8571989999999999,-0.22273,1.7965669999999998,0.06862,0.700198,0.040205,3.107337,0.11492999999999999,0.812916,0.200511,1.762764,0.039363,0.25706799999999996,0.063407,0.557435,0.003936,0.009647,0.0,0.89355,0.0015949999999999998,1.609416,0.060695000000000006,3.5681239999999996,0.0986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923251,0.0,1.0,0.070862,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,effect > 0,0.0,SignificantSelection,False,0.5,0.005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,10,5,2,1628093146208991,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,effect > 0,1.0,True,0.99,24,effect < 0,TwoSided,effect > 0,0.4,False,first,max(pvalue),StandardizedMeanDifference,min(pvalue),mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,sig,False,011a631b-e396-4069-904c-345ddad9d3c8,LinearModel,2,0.4,0.0,0.005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,83.929932,0.0,299.0,2706.114746,2.0050380000000003,0.0,4.0,2.0115119999999997,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.853049,-0.54464,2.559856,0.166568,0.690312,0.0014869999999999998,5.573489,0.32913600000000004,0.7670520000000001,0.038566,2.360824,0.10194500000000001,0.343037,0.017247,1.055792,0.020388999999999997,0.09589600000000001,1e-06,0.99835,0.019766,1.835384,-0.245171,8.902963,0.932133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353709,0.0,1.0,0.228608,0.998059,-1.0,1.0,0.0038299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,effect > 0,0.0,SignificantSelection,False,0.5,0.005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,5,5,2,1628091959203773,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,effect > 0,1.0,True,0.9,24,effect < 0,TwoSided,effect > 0,0.4,False,first,max(pvalue),StandardizedMeanDifference,min(pvalue),mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,sig,False,01525062-b2cd-488e-842b-177b8ca15deb,LinearModel,2,0.4,0.0,0.005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,11.499989999999999,0.0,23.0,47.918715999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,0.099513,-0.752,1.080454,0.040461000000000004,0.999301,0.25882,2.67864,0.082914,0.9893790000000001,0.508744,1.636655,0.020427,0.197876,0.101749,0.327331,0.000817,0.48116899999999996,0.0,0.999969,0.08595,0.100358,-1.042965,1.782134,0.08388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000917,0.0,1.0,0.000916,0.26925,-1.0,1.0,0.927544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,0.0,SignificantSelection,False,0.5,0.0005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,25,1,2,1628089331200942,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,,1.0,True,0,24,,TwoSided,effect > 0,0.1,False,,,StandardizedMeanDifference,,mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,,False,0169531c-57db-4fae-916f-1cc69e52b15c,LinearModel,2,0.1,0.0,0.0005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,15.638469,0.0,43.0,90.145248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,0.200973,-0.338493,0.769965,0.020383000000000002,1.00014,0.39034800000000003,2.133954,0.040724,0.995001,0.624778,1.460806,0.010118,0.140714,0.088357,0.206589,0.000202,0.362172,1e-06,0.999976,0.089686,0.20484899999999998,-0.542663,1.057285,0.042201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008917,0.0,1.0,0.008838,0.685919,-1.0,1.0,0.5295380000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,0.0,SignificantSelection,False,0.5,0.0005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,50,1,2,1628089248529340,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,,1.0,True,0.25,24,,TwoSided,effect > 0,0.2,False,,,StandardizedMeanDifference,,mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,,False,01fb64e6-72ee-4f4a-bfb4-8ce533462dc2,LinearModel,2,0.2,0.0,0.0005,True,effect > 0,0.0,1.0
499.493286,0.0,999.0,83336.835938,34.251492,0.0,106.0,442.49533099999996,2.002192,0.0,4.0,2.1430540000000002,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.9598209999999999,0.22868400000000003,1.685671,0.033461000000000005,0.853108,0.180778,2.2495979999999998,0.076388,0.911625,0.42518,1.499866,0.022056,0.203845,0.095073,0.33538,0.001103,0.000869,0.0,0.238669,2.3e-05,1.340324,0.378567,2.6274,0.038279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076290000000001,0.0,1.0,0.083844,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,effect > 0,0.0,SignificantSelection,False,0.5,0.0005,min(pvalue),EggersTestEstimator,0,all,sig,True,True,20,5,2,1628090758569118,0.0,id == 2,0.0,RandomEffectEstimator,0,1.0,0.1,0.0,TTest,DL,DefaultResearchStrategy,off,max(pvalue),1.0,0.0,effect > 0,1.0,True,0.95,24,effect < 0,TwoSided,effect > 0,0.7000000000000001,False,first,max(pvalue),StandardizedMeanDifference,min(pvalue),mvnorm_distribution,0.0,0.0,1000,0.5,effect < 0,0.5,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.5,sig,False,023c2efa-785b-4abe-b3c4-6b256b84cffb,LinearModel,2,0.7000000000000001,0.0,0.0005,True,effect > 0,0.0,1.0
