mean_est,min_est,max_est,var_est,mean_se,min_se,max_se,var_se,mean_ci_lb,min_ci_lb,max_ci_lb,var_ci_lb,mean_ci_ub,min_ci_ub,max_ci_ub,var_ci_ub,mean_zval,min_zval,max_zval,var_zval,mean_pval,min_pval,max_pval,var_pval,mean_q_stat,min_q_stat,max_q_stat,var_q_stat,mean_q_pval,min_q_pval,max_q_pval,var_q_pval,mean_tau2,min_tau2,max_tau2,var_tau2,researcher_parameters_research_strategy_between_replications_selection_policies_1_0,experiment_parameters_data_strategy_measurements_means_2,experiment_parameters_data_strategy_measurements_sigma_0_3,experiment_parameters_n_obs,experiment_parameters_test_strategy_alpha,researcher_parameters_research_strategy_between_replications_selection_policies_0_2,experiment_parameters_data_strategy_name,journal_parameters_review_strategy_pub_bias_rate,researcher_parameters_research_strategy_between_replications_selection_policies_2_1,researcher_parameters_research_strategy_will_not_start_hacking_decision_policies_1,experiment_parameters_data_strategy_measurements_sigma_2_3,researcher_parameters_research_strategy_between_stashed_selection_policies_0_0,journal_parameters_meta_analysis_metrics_1_name,simulation_parameters_log_level,experiment_parameters_data_strategy_measurements_sigma_3_3,journal_parameters_review_strategy_alpha,experiment_parameters_test_strategy_name,experiment_parameters_test_strategy_alternative,researcher_parameters_research_strategy_between_stashed_selection_policies_1_0,researcher_parameters_research_strategy_between_stashed_selection_policies_1_1,experiment_parameters_data_strategy_measurements_means_1,researcher_parameters_research_strategy_between_stashed_selection_policies_0_1,researcher_parameters_research_strategy_between_replications_selection_policies_0_0,simulation_parameters_output_path,experiment_parameters_data_strategy_measurements_sigma_0_2,experiment_parameters_data_strategy_measurements_sigma_0_1,researcher_parameters_research_strategy_between_replications_selection_policies_0_1,researcher_parameters_probability_of_being_a_hacker,experiment_parameters_data_strategy_measurements_sigma_1_1,experiment_parameters_data_strategy_measurements_sigma_2_2,researcher_parameters_research_strategy_name,experiment_parameters_data_strategy_measurements_sigma_2_1,simulation_parameters_save_rejected,simulation_parameters_n_sims,experiment_parameters_data_strategy_measurements_sigma_1_3,experiment_parameters_test_strategy_var_equal,simulation_parameters_save_meta,experiment_parameters_effect_strategy_name,researcher_parameters_research_strategy_will_not_start_hacking_decision_policies_0,experiment_parameters_data_strategy_measurements_sigma_1_2,experiment_parameters_data_strategy_measurements_sigma_3_1,experiment_parameters_data_strategy_measurements_sigma_3_2,simulation_parameters_update_config,journal_parameters_max_pubs,experiment_parameters_data_strategy_measurements_sigma_3_0,experiment_parameters_n_dep_vars,experiment_parameters_data_strategy_measurements_sigma_1_0,experiment_parameters_data_strategy_measurements_sigma_2_0,researcher_parameters_research_strategy_initial_selection_policies_0_0,researcher_parameters_research_strategy_between_replications_selection_policies_2_0,experiment_parameters_data_strategy_measurements_means_0,experiment_parameters_n_conditions,simulation_parameters_progress,journal_parameters_meta_analysis_metrics_1_alpha,simulation_parameters_master_seed,experiment_parameters_data_strategy_measurements_means_3,simulation_parameters_save_all_pubs,simulation_parameters_output_prefix,researcher_parameters_research_strategy_stashing_policy_0,experiment_parameters_data_strategy_measurements_sigma_0_0,researcher_parameters_research_strategy_between_replications_selection_policies_1_1,journal_parameters_review_strategy_name,simulation_parameters_save_overall_summaries,journal_parameters_review_strategy_side,journal_parameters_meta_analysis_metrics_0_name,journal_parameters_meta_analysis_metrics_0_estimator,simulation_parameters_save_pubs_per_sim_summaries,experiment_parameters_n_reps,experiment_parameters_data_strategy_measurements_dist
0.476166,0.307578,0.625739,0.0025570000000000002,0.197746,0.184053,0.210675,2e-05,0.08859,-0.10167000000000001,0.238515,0.002791,0.863741,0.694639,1.020602,0.002478,2.4102330000000003,1.473048,3.216038,0.07320499999999999,0.020054,0.0013,0.140738,0.000252,1.482817,0.43082,3.6168129999999996,0.158528,1.0,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,,0.30000000000000004,0.0,50,0.005,,LinearModel,0.9,,sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,,0.0,2,False,0.1,1628092237059888,0.30000000000000004,True,0004e0d1-f556-45c4-98f4-13681d38ff07,all,1.0,,SignificantSelection,True,0,RandomEffectEstimator,DL,False,1,mvnorm_distribution
-0.000218,-0.107599,0.11670699999999999,0.0008960000000000001,0.202033,0.19151700000000002,0.210941,8e-06,-0.39619499999999996,-0.501537,-0.27877399999999997,0.000919,0.39576,0.28634,0.512189,0.0009369999999999999,-0.0011380000000000001,-0.5353359999999999,0.578388,0.021956,0.9078940000000001,0.563002,0.9996860000000001,0.00515,0.48745299999999997,0.148838,1.2085709999999998,0.022082,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.005,,LinearModel,0.25,,sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,,0.0,2,False,0.1,1628092454835459,0.0,True,003e16fe-deae-45d4-8c18-dee22eafe9e6,all,1.0,,SignificantSelection,True,0,RandomEffectEstimator,DL,False,1,mvnorm_distribution
0.537238,0.431867,0.678663,0.001088,0.198898,0.185852,0.21717899999999998,1.8e-05,0.147404,0.037916000000000005,0.294825,0.0012369999999999998,0.9270709999999999,0.824365,1.062502,0.001074,2.702786,2.148603,3.465407,0.033613,0.007838,0.000529,0.031666,1.9e-05,0.617736,0.148509,1.926596,0.061208000000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.4,0.0,50,0.05,,LinearModel,0.9,,sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.05,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,,0.0,2,False,0.1,1628091202905327,0.4,True,00870a3d-d915-4f41-bf26-945e207a9ea8,all,1.0,,SignificantSelection,True,0,RandomEffectEstimator,DL,False,1,mvnorm_distribution
0.926309,0.675596,1.1945700000000001,0.006719,0.182149,0.15901600000000002,0.208906,5.3e-05,0.5693020000000001,0.277368,0.8626020000000001,0.007645999999999999,1.283315,1.044366,1.526538,0.006196,5.099065,3.3250900000000003,7.318428999999999,0.302553,6e-06,0.0,0.000884,0.0,3.8477949999999996,1.489288,8.002513,0.868942,0.999976,0.998368,1.0,0.0,0.0,0.0,0.0,0.0,effect > 0,0.30000000000000004,0.0,20,0.0005,first,LinearModel,0.95,max(pvalue),sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.0005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),effect > 0,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,sig,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,effect < 0,0.0,2,False,0.1,1628091868800613,0.30000000000000004,True,00c9cc89-8e90-40b4-ae45-1bac5621c008,all,1.0,min(pvalue),SignificantSelection,True,0,RandomEffectEstimator,DL,False,5,mvnorm_distribution
0.30433000000000004,0.134107,0.42463900000000004,0.001784,0.200268,0.186425,0.217513,1.9e-05,-0.088188,-0.24292199999999997,0.038336,0.0019079999999999998,0.6968479999999999,0.5111359999999999,0.814923,0.001808,1.520656,0.697148,2.15447,0.046749,0.137174,0.031202999999999998,0.48571000000000003,0.003244,1.005587,0.29936399999999996,2.518287,0.114923,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.30000000000000004,0.0,50,0.05,,LinearModel,0,,sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.05,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,,0.0,2,False,0.1,1628091471476504,0.30000000000000004,True,00e7785c-0b7c-4070-acbb-6f0e50147faf,all,1.0,,SignificantSelection,True,0,RandomEffectEstimator,DL,False,1,mvnorm_distribution
1.651118,1.42682,2.040411,0.0063289999999999996,0.151028,0.12009700000000001,0.22421300000000002,9.499999999999999e-05,1.3551090000000001,1.126816,1.752307,0.0074329999999999995,1.947127,1.7200849999999999,2.3285139999999998,0.005954999999999999,10.986172999999999,7.748442999999999,14.71514,0.972656,0.0,0.0,0.0,0.0,4.3584629999999995,0.470497,53.448902000000004,10.201661999999999,0.995432,0.00031800000000000003,1.0,0.002112,0.0,0.0,0.0,0.0,effect > 0,0.4,0.0,10,0.005,first,LinearModel,0.99,max(pvalue),sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),effect > 0,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,sig,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,effect < 0,0.0,2,False,0.1,1628093146208991,0.4,True,011a631b-e396-4069-904c-345ddad9d3c8,all,1.0,min(pvalue),SignificantSelection,True,0,RandomEffectEstimator,DL,False,5,mvnorm_distribution
1.9963380000000002,1.3736110000000001,2.59915,0.043486000000000004,0.22475799999999999,0.08747200000000001,0.7357279999999999,0.003944,1.555821,0.587703,2.339907,0.057099000000000004,2.4368540000000003,1.614268,3.6499309999999996,0.060177,9.419686,2.8216740000000002,27.229078,5.6717830000000005,1.2e-05,0.0,0.004777,0.0,81.990463,11.426083,1216.637695,5755.640136999999,0.027443000000000002,0.0,0.978405,0.009598,0.0,0.0,0.0,0.0,effect > 0,0.4,0.0,5,0.005,first,LinearModel,0.9,max(pvalue),sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),effect > 0,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,sig,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,effect < 0,0.0,2,False,0.1,1628091959203773,0.4,True,01525062-b2cd-488e-842b-177b8ca15deb,all,1.0,min(pvalue),SignificantSelection,True,0,RandomEffectEstimator,DL,False,5,mvnorm_distribution
0.10251500000000001,-0.117623,0.322234,0.004036,0.195779,0.176234,0.216038,3.9e-05,-0.28120500000000004,-0.511271,-0.06853300000000001,0.004169,0.48623500000000003,0.276025,0.713001,0.004204,0.5240520000000001,-0.585643,1.616226,0.106224,0.607963,0.106046,0.9976729999999999,0.039354,2.188919,0.5255890000000001,8.031829,0.604811,0.999992,0.9983200000000001,1.0,0.0,0.0,0.0,0.0,0.0,,0.1,0.0,25,0.0005,,LinearModel,0,,sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.0005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,,0.0,2,False,0.1,1628089331200942,0.1,True,0169531c-57db-4fae-916f-1cc69e52b15c,all,1.0,,SignificantSelection,True,0,RandomEffectEstimator,DL,False,1,mvnorm_distribution
0.206682,0.076946,0.420159,0.00206,0.20009000000000002,0.186339,0.21471700000000002,1.9e-05,-0.18548599999999998,-0.324092,0.032553,0.00216,0.598851,0.466654,0.807765,0.0021030000000000003,1.0336100000000001,0.376051,2.124571,0.052466,0.313634,0.033622000000000006,0.706879,0.011464,1.0250700000000001,0.305552,2.626276,0.109351,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,50,0.0005,,LinearModel,0.25,,sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.0005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,,0.0,2,False,0.1,1628089248529340,0.2,True,01fb64e6-72ee-4f4a-bfb4-8ce533462dc2,all,1.0,,SignificantSelection,True,0,RandomEffectEstimator,DL,False,1,mvnorm_distribution
1.353731,1.212723,1.5076829999999999,0.002054,0.178741,0.160914,0.195965,3.9e-05,1.0034040000000002,0.839424,1.1850690000000002,0.002477,1.704057,1.579642,1.8379279999999998,0.001935,7.585292999999999,6.367266000000001,9.239101,0.17111800000000002,0.0,0.0,0.0,0.0,1.1922780000000002,0.21320799999999998,7.398192999999999,0.403208,0.9999979999999999,0.999134,1.0,0.0,0.0,0.0,0.0,0.0,effect > 0,0.7000000000000001,0.0,20,0.0005,first,LinearModel,0.95,max(pvalue),sig,0.5,effect > 0,EggersTestEstimator,off,1.0,0.0005,TTest,TwoSided,effect < 0,max(pvalue),0.0,min(pvalue),effect > 0,/scratch/bakker-et-al-2012-extended-no-qrp/outputs/,0.0,0.5,sig,0,1.0,1.0,DefaultResearchStrategy,0.0,False,1000,0.0,True,True,StandardizedMeanDifference,effect > 0,0.0,0.0,0.5,True,24,0.0,2,0.5,0.0,id == 2,effect < 0,0.0,2,False,0.1,1628090758569118,0.7000000000000001,True,023c2efa-785b-4abe-b3c4-6b256b84cffb,all,1.0,min(pvalue),SignificantSelection,True,0,RandomEffectEstimator,DL,False,5,mvnorm_distribution
