"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.1,"50",4,5e-04,"M","DefaultResearchStrategy","TTest","1",0.0162,55.8944,0.2557171974,0.1557171974,0.2890999658,"Large","drop"
0.1,"20",2,5e-04,"L","DefaultResearchStrategy","TTest","1",0.022,26.4754,0.4947696578,0.3947696578,0.1711978442,"Small","drop"
0.5,"10",2,0.05,"M","DefaultResearchStrategy","TTest","1",0.8736,15.6026,0.9399143782,0.4399143782,0.0341939596,"Small","drop"
0.05,"25",5,0.05,"S","DefaultResearchStrategy","TTest","0",0.0356,25,0.0454143658,-0.0045856342,0.4917564108,"Large","drop"
0.7,"10",1,0.05,"M","DefaultResearchStrategy","TTest","0",0.3118,10,0.7298815308,0.0298815307999999,0.2395966438,"Small","drop"
0.85,"20",1,0.005,"L","DefaultResearchStrategy","TTest","0",0.399,20,0.8680139184,0.0180139183999999,0.059565617,"Small","drop"
0.2,"20",5,5e-04,"L","DefaultResearchStrategy","TTest","0",0.0096,20,0.58797482,0.38797482,0.131170913,"Small","drop"
1,"50",5,5e-04,"M","DefaultResearchStrategy","TTest","1",0.9972,50.2082,1.0240185674,0.0240185674,4.67334e-05,"Large","drop"
0.95,"20",4,0.05,"L","DefaultResearchStrategy","TTest","0",0.999,20,1.0708888842,0.1208888842,0.0079243614,"Small","drop"
0.85,"50",5,0.05,"M","DefaultResearchStrategy","TTest","0",0.9916,50,0.85712529,0.00712528999999995,0.0024414208,"Large","drop"
0.5,"20",4,5e-04,"L","DefaultResearchStrategy","TTest","1",0.5852,27.5018,1.0173894164,0.5173894164,0.002124391,"Small","drop"
0.3,"50",3,0.05,"M","DefaultResearchStrategy","TTest","1",0.68126374725055,53.8602279544091,0.418469584083183,0.118469584083183,0.0849827596480704,"Large","drop"
1,"25",5,0.005,"S","DefaultResearchStrategy","TTest","1",0.987,26.2994,1.096508839,0.096508839,0.0012043504,"Large","drop"
